@Ids_Hmi,15:44 - 24 mars 2013,Nan !! il vont enlever les blagues des #Carambar  c'est des ouf faut pas laisser faire sa !!,
@AgenciaANSA,12:08 - 23 mars 2013,Francia: Adiós a los chistes de #Carambar http://fb.me/1CG0b6Kug ,
@Phil_Cotebask,12:07 - 23 mars 2013,#Carambar ? //RT @justinbiebiere: Vous savez comment on reconnait un clavier Yiddish ? C'est le seul qui a la touche H qu'est naze...,
@faustinegd_,12:05 - 23 mars 2013,Plus de blagues dans les papiers de #carambar ? Fini maintenant j'arrache le papier pour l'ouvrir plus besoin de l'enlever délicatement!,
@f_mabille,12:05 - 23 mars 2013,#Carambar va supprimer les blagues écrites dans ses emballages! Ici s'arrête donc ma carrière d'humoriste professionnel..,
@Gaetanwampas,11:56 - 23 mars 2013,Non mais allo quoi ! T'es un #Carambar et t'as  pas de #blague. C'est comme si je  te disais t'es un Carambar et t'es pas #drôle.,
@PaulBiehler,11:45 - 23 mars 2013,Le changement c'est dans 1 jour et 12 heures.. Résistance ! Résistance ! Résistance ! :D #carambar #blaguepic.twitter.com/Yp3dkXh8ce,
@AurelieDelaunay,11:22 - 23 mars 2013,Quelle était la blague ?!? @merveilleuses: En tournage pour #Carambar le 19/45 de @M6lachaine -- pour de vrai ! pic.twitter.com/QfwXgdRyxg,
@bersound,11:17 - 23 mars 2013,En fait c'est pas si grave la disparition des blagues #carambar. Y a les emballages des produits monop pour compenser. En moins bien. #fb,
@ElbatFR,11:07 - 23 mars 2013,Non mais allo quoi ! T'es un #Carambar et t'as  pas de #blague. C'est comme si je  te disais t'es un Carambar et t'es pas #drôle.,
@elodie_do,11:05 - 23 mars 2013,Blagues Carambar : histoire d'un buzz parfaitement orchestré - France 3 Nord Pas-de-Calais http://nord-pas-de-calais.france3.fr/2013/03/22/blaques-carambar-histoire-d-un-buzz-parfaitement-orchestre-221497.html … #buzz #carambar,
@ioster,11:02 - 23 mars 2013,Je souhaite féliciter l'agence de Comm de #carambar qui fait un super buzz avant lancement de la fusée (lundi a priori) #BeauBoulot,
@DUFOUR_Claire,11:00 - 23 mars 2013,#Carambar : Blague à part on ne rigole plus ! http://www.lavoixdunord.fr/culture-loisirs/carambar-blague-a-part-on-ne-rigole-plus-ia0b0n1120140#.UU3siRRlD44.twitter … via @lavoixdunord,
@Chabadie,10:56 - 23 mars 2013,@leCMN Une blague ?!? De quel ordre pouvez-vous nous en dire un peu plus ? #carambar,
@Leoclaret,10:55 - 23 mars 2013,Comment appel t on un chien sans pattes? On l appel pas on va le chercher...  Les blagues carambar vont me manqué ! #carambar #blague #nul,
@goelandmoqueur,10:50 - 23 mars 2013,Hier on riait que les crabes se saluaient en se serrant la pince  demain nous saurons que crabe est un nom vernaculaire ambigu ! #Carambar,
@JoelCrest,10:48 - 23 mars 2013,Scoop : on vient de retrouver la dernière blague #Carambar. Elle était cachée dans ma bio,
@JolVitalis,10:40 - 23 mars 2013,Encore une nouvelle reforme à Vincent Peillon: #Carambar met fin aux blagues au profit d'exercices ludo-éducatifs...,
@EmmanuelDAYRE,10:30 - 23 mars 2013,#Carambar remplace ses blagues par des jeux ludo-educatifs et s'auto-proclame marque responsable Vive le Citizen- washing !,
@Taoanas,10:29 - 23 mars 2013,Hé Twitter tu sais c'est quoi le plat préféré de Tony Montana ?Les œufs à la Coke !! #carambar,
@AvelMenhir,10:14 - 23 mars 2013,Le juge Gentil à mis fin aux blagues carambar qui faisait de l'ombre aux blagounettes de son ami Hollande. #carambar,
@Marin_Vgnx,10:09 - 23 mars 2013,@Alexandre_Bnz #Carambar,
@NourBGaied,10:04 - 23 mars 2013,J-2: Les blagues #Carambar vivent leurs derniers jours.Plus de Monsieur-Madame de charades et de blagues de Toto. #Enfance :(,
@LuciePCH_,10:02 - 23 mars 2013,Qui du crayon ou du feutre est le plus en forme? Le crayon car il a bonne mine! #Carambar toujours aussi nul aha.,
@Najett2France,09:49 - 23 mars 2013,Héhé @AurelieDelaunay @merveilleuses #carambar,
@dbatteur,09:33 - 23 mars 2013,La fin des blagues #carambar  bonne idée ou mauvaise blague ?,
@ctumminello,09:19 - 23 mars 2013,Fin des blagues de #Carambar : mauvaise blague ou coup de comm’ génial ? http://bit.ly/X2t77u Et si c'était un #PoissonDAvril ?,
@BatriceQ,09:14 - 23 mars 2013,D'acc avec ce lecteur de 9 ans : Ce qu'il faut arrêter c'est pas les #blagues #Carambar c'est les cap ou pas cap qui sont trop débiles.,
@coach_serenity,09:08 - 23 mars 2013,Nan mais allô t'es un #Carambar et t'as pas d'blagues. Nan mais allô quoi... Chai pas vous m'recevez ? http://www.blogdudimanche.fr/omg-carambar-arrete-les-blagues …,
@LePlus,09:07 - 23 mars 2013,Fin des jeux de mots improbables de #Carambar : mauvaise blague ou coup de comm’ génial ? Analyse de @olivcim ici >> http://bit.ly/X2t77u ,
@valenthior,09:05 - 23 mars 2013,#carambar prochaine étape:nouveau goût pour les fraises #tagada: goût caca pour apprendre aux enfants que ce n'est pas bon pour les dents.,
@CharlotteCatrou,09:03 - 23 mars 2013,@morandiniblog: Une pétition a été lancée contre la fin des blagues Carambar!  #carambar #blague #pétition #colère http://www.jeanmarcmorandini.com/article-302134-une-petition-a-ete-lancee-contre-la-fin-des-blagues-carambar.html …,
@valenthior,09:03 - 23 mars 2013,Arrêt des blagues #carambar ou comment la bienpensance l'emporte une fois de plus...,
@Najett2France,09:03 - 23 mars 2013,Maîiiiitresse  Élise m'a volé mon cartable !!!! @merveilleuses #carambar http://instagram.com/p/XNLwLoOl_g/ ,
@Frizoudessins,08:54 - 23 mars 2013,#carambarhttp://soyons-serieux.fr/une-petition-a-ete-lancee-contre-la-fin-des-blagues-carambar/ …,
@Darknaimor,08:45 - 23 mars 2013,http://www.petitionpublique.fr/PeticaoVer.aspx?pi=P2013N38042 … Petition pour le mainttien des blagues #carambar,
@AnaelleCohou,08:39 - 23 mars 2013,Non à la fin des blagues carambar!! #blague #carambar,
@AfterEight13,08:29 - 23 mars 2013,Bientôt des blagues #Carambar sur #Sarkozy et #Cahuzac ? http://tempsreel.nouvelobs.com/vu-sur-le-web/20130322.OBS2798/bientot-des-blagues-carambar-sur-sarkozy-et-cahuzac.html … #Twitter,
@Ribops_,08:27 - 23 mars 2013,la culture G chez #Carambar : ça ne pourra pas être pire que leur humour les défis barrés... :-/,
@ChrisGeekWorld,08:25 - 23 mars 2013,Une pétition a été lancée contre la fin des blagues Carambar! #carambar #blague #pétition #colère http://www.jeanmarcmorandini.com/article-302134-une-petition-a-ete-lancee-contre-la-fin-des-blagues-carambar.html …”,
@PatBarMeleagant,08:22 - 23 mars 2013,#Carambar dont les blagues n'ont jamais vraiment fait rire a décidé d'arrêter de blaguer au profit de petits quiz : Encore moins drôle,
@CatherineMoal,08:15 - 23 mars 2013,Fini de rire chez #Carambar http://www.ouest-france.fr/r.php?d=2175723&c=38826#.UU3GKF8DS3M.twitter … et http://www.bddpetfils.fr/campagnes/carambar-les-carambarr%C3%A9s … #bonbon #usine,
@ClLx,08:10 - 23 mars 2013,Une pétition contre la fin des blagues #Carambar http://www.nordeclair.fr/info-locale/une-petition-contre-la-fin-des-blagues-carambar-ia0b0n177058#.UU3FmBlUzDA.twitter … via @NordEclairWeb,
@Vivi_Dreaam,08:07 - 23 mars 2013,“@morandiniblog: Une pétition a été lancée contre la fin des blagues Carambar! #carambar #blague #pétition #colère @Jawaassa ils en ont mar,
@EtienneGU,08:06 - 23 mars 2013,Quand y'en a marre y a Malabar RT @marco91300: Carambaras-le-bol ! #carambar,
@marco91300,08:05 - 23 mars 2013,Carambaras-le-bol ! #carambar,
@morandiniblog,08:03 - 23 mars 2013,Une pétition a été lancée contre la fin des blagues Carambar! #carambar #blague #pétition #colère http://www.jeanmarcmorandini.com/article-302134-une-petition-a-ete-lancee-contre-la-fin-des-blagues-carambar.html …,
@JeromeMONANGE,08:02 - 23 mars 2013,Fin des blagues #Carambar plus dure sera la chute  http://ow.ly/jlyqx #marque #consommation,
@lavoixdunord,07:45 - 23 mars 2013,#Carambar : Blague à part on ne rigole plus! On vous en dit plus http://bit.ly/YyiPHs ,
@Louise2life,07:36 - 23 mars 2013,RIP.. la blagounette de #carambar #nonmaisalloquoi http://www.lefigaro.fr/culture/2013/03/21/03004-20130321ARTFIG00607-carambar-perd-le-sens-de-l-humour.php … via @le_figaro,
@EricParis,07:31 - 23 mars 2013,@NicoLemarignier toi t'as bouffé du #Carambar  cc @cyrilpetit99,
@lilybrosey,07:28 - 23 mars 2013,HEPHEPHEP j'ai une blague: Où les super héros font-ils leurs courses? - Au supermarché bahaha #carambar,
@anthonycoulon,07:22 - 23 mars 2013,fini les blagues #carambar :( http://bit.ly/WRu8hH ,
